skill,n,pre_BL,pre_CU,post_BL,post_CU,Δ pre,Δ post,ΔΔ
circular-reasoning,5,0.2,0.8,0.2,0.6,0.6000000000000001,0.39999999999999997,-0.20000000000000012
appeal-to-emotion,5,0.6,0.4,0.6,0.8,-0.19999999999999996,0.20000000000000007,0.4
folk-physics-common-knowledge-physics,5,0.4,0.2,0.2,0.4,-0.2,0.2,0.4
accident-fallacy,5,0.0,0.4,0.4,0.6,0.4,0.19999999999999996,-0.20000000000000007
anchoring-bias,5,0.6,0.8,0.8,1.0,0.20000000000000007,0.19999999999999996,-1.1102230246251565e-16
framing-effect,5,0.4,0.2,0.4,0.6,-0.2,0.19999999999999996,0.39999999999999997
modus-tollens,5,1.0,0.8,0.8,1.0,-0.19999999999999996,0.19999999999999996,0.3999999999999999
regression-to-the-mean,5,0.2,0.8,0.8,1.0,0.6000000000000001,0.19999999999999996,-0.40000000000000013
self-serving-bias,5,0.4,0.8,0.4,0.6,0.4,0.19999999999999996,-0.20000000000000007
ad-hominem,5,0.8,1.0,0.6,0.6,0.19999999999999996,0.0,-0.19999999999999996
analogical-inference,5,0.4,0.4,0.4,0.4,0.0,0.0,0.0
appeal-to-authority,5,0.8,0.4,0.8,0.8,-0.4,0.0,0.4
availability-heuristic,5,0.4,0.6,0.8,0.8,0.19999999999999996,0.0,-0.19999999999999996
base-rate-neglect,5,0.2,0.6,0.6,0.6,0.39999999999999997,0.0,-0.39999999999999997
complex-question-loaded-question-with-implicit-assumption,5,0.2,0.4,0.2,0.2,0.2,0.0,-0.2
confirmation-bias,5,0.6,0.2,0.4,0.4,-0.39999999999999997,0.0,0.39999999999999997
disjunctive-syllogism,5,0.4,0.8,0.8,0.8,0.4,0.0,-0.4
emotional-self-regulation,5,0.4,0.4,0.6,0.6,0.0,0.0,0.0
enumerative-induction,5,0.4,0.6,0.8,0.8,0.19999999999999996,0.0,-0.19999999999999996
equivocation,5,0.0,0.6,0.0,0.0,0.6,0.0,-0.6
gamblers-fallacy,5,0.6,0.8,0.6,0.6,0.20000000000000007,0.0,-0.20000000000000007
metaphor,5,0.2,0.2,0.6,0.6,0.0,0.0,0.0
post-hoc-ergo-propter-hoc,5,1.0,0.8,0.8,0.8,-0.19999999999999996,0.0,0.19999999999999996
red-herring,5,0.2,0.4,0.6,0.6,0.2,0.0,-0.2
slippery-slope,5,0.4,0.2,1.0,1.0,-0.2,0.0,0.2
spatial-reasoning,5,0.8,0.4,0.4,0.4,-0.4,0.0,0.4
sunk-cost-fallacy,5,0.4,0.8,0.6,0.6,0.4,0.0,-0.4
tu-quoque,5,0.2,0.2,0.4,0.4,0.0,0.0,0.0
hasty-generalization,5,0.8,1.0,1.0,0.8,0.19999999999999996,-0.19999999999999996,-0.3999999999999999
hindsight-bias,5,0.8,0.8,0.6,0.4,0.0,-0.19999999999999996,-0.19999999999999996
modus-ponens,5,1.0,0.6,1.0,0.8,-0.4,-0.19999999999999996,0.20000000000000007
straw-man,5,0.4,0.6,0.4,0.2,0.19999999999999996,-0.2,-0.39999999999999997
transitive-inference,5,0.6,0.4,0.4,0.2,-0.19999999999999996,-0.2,-5.551115123125783e-17
false-dilemma,5,0.4,0.6,0.8,0.6,0.19999999999999996,-0.20000000000000007,-0.4
necessary-and-sufficient-conditions,5,0.4,0.4,0.6,0.2,0.0,-0.39999999999999997,-0.39999999999999997
abductive-reasoning,5,0.4,0.6,1.0,0.6,0.19999999999999996,-0.4,-0.6
hypothetical-syllogism,5,1.0,0.4,1.0,0.6,-0.6,-0.4,0.19999999999999996
statistical-syllogism,5,0.6,0.8,1.0,0.6,0.20000000000000007,-0.4,-0.6000000000000001
contrapositive,5,1.0,1.0,1.0,0.4,0.0,-0.6,-0.6
counterfactual-reasoning,5,0.8,0.4,1.0,0.4,-0.4,-0.6,-0.19999999999999996
