skill,bl,cu,delta
accident-fallacy,0.400,0.800,+0.400
spatial-reasoning,0.600,1.000,+0.400
tu-quoque,0.600,1.000,+0.400
necessary-and-sufficient-conditions,0.600,0.800,+0.200
metaphor,0.800,1.000,+0.200
emotional-self-regulation,0.800,1.000,+0.200
false-dilemma,0.800,1.000,+0.200
confirmation-bias,0.800,1.000,+0.200
anchoring-bias,0.800,1.000,+0.200
appeal-to-emotion,0.800,1.000,+0.200
transitive-inference,0.800,1.000,+0.200
self-serving-bias,1.000,1.000,+0.000
red-herring,1.000,1.000,+0.000
modus-ponens,1.000,1.000,+0.000
statistical-syllogism,1.000,1.000,+0.000
folk-physics-common-knowledge-physics,1.000,1.000,+0.000
modus-tollens,1.000,1.000,+0.000
hypothetical-syllogism,1.000,1.000,+0.000
disjunctive-syllogism,1.000,1.000,+0.000
contrapositive,1.000,1.000,+0.000
ad-hominem,1.000,1.000,+0.000
straw-man,1.000,1.000,+0.000
slippery-slope,1.000,1.000,+0.000
equivocation,1.000,1.000,+0.000
post-hoc-ergo-propter-hoc,1.000,1.000,+0.000
circular-reasoning,1.000,1.000,+0.000
hasty-generalization,1.000,1.000,+0.000
base-rate-neglect,1.000,1.000,+0.000
availability-heuristic,1.000,1.000,+0.000
sunk-cost-fallacy,1.000,1.000,+0.000
abductive-reasoning,1.000,1.000,+0.000
enumerative-induction,1.000,1.000,+0.000
analogical-inference,1.000,1.000,+0.000
counterfactual-reasoning,1.000,1.000,+0.000
regression-to-the-mean,1.000,1.000,+0.000
gamblers-fallacy,1.000,1.000,+0.000
framing-effect,1.000,1.000,+0.000
hindsight-bias,1.000,1.000,+0.000
appeal-to-authority,1.000,1.000,+0.000
complex-question-loaded-question-with-implicit-assumption,1.000,0.800,-0.200
